Date,Open,High,Low,Close,Adj Close,Volume
16-04-2015,2067.5,2094.600098,2050,2088.050049,1919.624634,252040
17-04-2015,2063.649902,2080,2040,2065.300049,1898.709717,178998
20-04-2015,2065,2083.050049,2000.599976,2022.050049,1858.948486,257106
21-04-2015,2025.699951,2055.300049,1980,1988.449951,1828.058472,260092
22-04-2015,1995.099976,2025,1943,1983.699951,1823.69165,326374
23-04-2015,1992,2017.599976,1973.400024,1991.050049,1830.448853,145385
24-04-2015,1990.5,2007.949951,1961,1998.849976,1837.619629,269572
27-04-2015,2006,2009.949951,1970.050049,1984.449951,1824.381226,228380
28-04-2015,1985,2000,1943.75,1990.150024,1829.62146,217394
29-04-2015,1990.199951,2002.699951,1971,1978.650024,1819.049072,152835
30-04-2015,1977.800049,1977.800049,1912.5,1948.650024,1791.468994,1262699
04-05-2015,1958.800049,2098.699951,1932.949951,2087.899902,1919.486694,610067
05-05-2015,2087.899902,2087.899902,2029.25,2061.649902,1895.354004,291839
06-05-2015,2056.899902,2056.899902,2016.150024,2020.300049,1857.3396,649622
07-05-2015,2010,2089.899902,2006.949951,2067.850098,1901.054077,433821
08-05-2015,2078.149902,2148.100098,2049.800049,2123.050049,1951.801758,338090
11-05-2015,2131,2193.25,2131,2182.399902,2006.364258,312569
12-05-2015,2182.399902,2185,2125,2128.899902,1957.179443,267754
13-05-2015,2145,2172,2092.350098,2125.899902,1954.421753,287030
14-05-2015,2126,2179,2107.199951,2165.850098,1991.149292,424064
15-05-2015,2165,2192,2152,2186.5,2010.133545,175574
18-05-2015,2192,2227.899902,2176.75,2220.699951,2041.574829,275731
19-05-2015,2220,2243.75,2195.25,2202.600098,2024.934937,212926
20-05-2015,2210,2223,2136,2151.350098,1977.818848,399901
21-05-2015,2144.100098,2314,2123.300049,2300.300049,2114.75415,2610990
22-05-2015,2290,2340.899902,2255,2307.449951,2121.327393,920884
25-05-2015,2300,2323.949951,2280.699951,2298.850098,2113.421143,414481
26-05-2015,2310,2330,2285.100098,2321.300049,2134.060303,275643
27-05-2015,2303.449951,2336.75,2303.449951,2312.399902,2125.87793,504244
28-05-2015,2312.25,2335,2275,2302.949951,2117.19043,418946
29-05-2015,2313.25,2331,2286.050049,2316.100098,2129.279785,549255
01-06-2015,2318.550049,2351,2306.300049,2337.75,2149.18335,284450
02-06-2015,2342,2347.050049,2262.149902,2270.699951,2087.541748,516279
03-06-2015,2251,2290.850098,2229.25,2240,2059.318115,231100
04-06-2015,2244.800049,2261,2190.550049,2218,2039.092773,193842
05-06-2015,2203.699951,2236,2191.350098,2198.5,2021.165771,187374
08-06-2015,2200,2240.5,2200,2224.199951,2044.792358,372632
09-06-2015,2218.699951,2232.5,2177.399902,2190.699951,2013.994629,296262
10-06-2015,2182,2266.25,2179,2253.149902,2071.407471,409711
11-06-2015,2266,2277.399902,2207,2213.550049,2035.001587,350425
12-06-2015,2220,2297,2201.399902,2286.300049,2101.883301,575268
15-06-2015,2286.300049,2339.149902,2261.600098,2332.350098,2144.218994,501630
16-06-2015,2329,2403.149902,2314.199951,2391.100098,2198.230225,457467
17-06-2015,2395,2408.5,2362,2372,2180.670898,366641
18-06-2015,2370,2412.399902,2369.100098,2396,2202.734863,308116
19-06-2015,2409.949951,2425,2390.199951,2407.75,2213.537109,327523
22-06-2015,2405.050049,2436.449951,2397.199951,2425.050049,2229.441895,244573
23-06-2015,2425.050049,2438,2402.300049,2414.300049,2219.559082,291949
24-06-2015,2414.949951,2414.949951,2388.600098,2392.600098,2199.609131,263531
25-06-2015,2400,2530,2390,2504.300049,2302.299316,927513
26-06-2015,2494,2554,2471,2544.800049,2339.532471,662174
29-06-2015,2500,2574.050049,2480.449951,2558.850098,2352.449219,579466
30-06-2015,2552.449951,2584,2531.100098,2541.949951,2336.912354,629086
01-07-2015,2541.949951,2555,2516,2526.25,2322.478516,251469
02-07-2015,2550,2586.199951,2528,2566.199951,2359.206543,338991
03-07-2015,2580,2609,2575,2588,2379.247803,346267
06-07-2015,2572,2602.949951,2569.5,2595.350098,2386.005371,254273
07-07-2015,2602,2612.899902,2585,2603.699951,2393.681396,184985
08-07-2015,2589.050049,2608,2560,2571.449951,2364.032715,184524
09-07-2015,2545,2558,2500.149902,2511.25,2354.469727,239855
10-07-2015,2519.899902,2523.399902,2453.649902,2466.800049,2312.794678,332514
13-07-2015,2480,2507.949951,2439.600098,2496.850098,2340.96875,295109
14-07-2015,2500,2521,2485.550049,2498.699951,2342.703125,341879
15-07-2015,2490,2540,2490,2532.25,2374.158691,350064
16-07-2015,2540,2561,2537.800049,2545.850098,2386.909424,224838
17-07-2015,2555,2567.600098,2485,2529.449951,2371.533203,259098
20-07-2015,2533,2550.199951,2512.649902,2520.949951,2363.563721,131942
21-07-2015,2508,2572.949951,2508,2542.949951,2384.190674,226485
22-07-2015,2548,2628,2548,2618.899902,2455.398926,493192
23-07-2015,2630,2656,2480,2489.050049,2333.655762,1651767
24-07-2015,2492.899902,2518.800049,2477.149902,2497.350098,2341.4375,399738
27-07-2015,2494,2529,2460.75,2509,2352.360107,405369
28-07-2015,2517,2524.899902,2471.300049,2482,2327.045898,248738
29-07-2015,2484.600098,2514.75,2471.899902,2497.850098,2341.90625,220012
30-07-2015,2500,2534,2500,2527.25,2369.470703,332527
31-07-2015,2533,2555.600098,2514.25,2525.300049,2367.642822,245751
03-08-2015,2525,2564.600098,2487.300049,2504.899902,2348.516113,294753
04-08-2015,2524.899902,2524.899902,2477.149902,2511.899902,2355.079102,276076
05-08-2015,2506,2586.850098,2506,2576.649902,2415.786621,577916
06-08-2015,2576,2608,2560.949951,2578.350098,2417.380615,369433
07-08-2015,2578.350098,2582,2528.5,2537.399902,2378.986816,191394
10-08-2015,2544.949951,2573.649902,2541.699951,2554.600098,2395.113281,226672
11-08-2015,2560,2567,2525.199951,2539.899902,2381.330811,184804
12-08-2015,2535,2546.800049,2451.399902,2462.199951,2308.481934,243929
13-08-2015,2470,2510,2422,2486.850098,2331.593262,195819
14-08-2015,2495,2572.800049,2475.75,2558.600098,2398.863525,255379
17-08-2015,2569,2570,2529.949951,2535.350098,2377.065186,157272
18-08-2015,2540,2569,2520,2526.800049,2369.048828,154551
19-08-2015,2519,2555,2496.649902,2543.050049,2384.284424,176926
20-08-2015,2505.050049,2546.25,2481.600098,2491.800049,2336.234131,209161
21-08-2015,2475.050049,2508.600098,2385,2406.199951,2255.978027,604347
24-08-2015,2339.699951,2355.699951,2169,2191.550049,2054.729004,524739
25-08-2015,2217.5,2245.899902,2142.850098,2198.199951,2060.963623,622800
26-08-2015,2194.449951,2270,2133.649902,2244.649902,2104.513672,436233
27-08-2015,2270,2270.100098,2176.199951,2187.75,2051.16626,777058
28-08-2015,2214.949951,2293.850098,2202.050049,2279.550049,2137.235107,568948
31-08-2015,2261,2270,2221.100098,2232.699951,2093.309814,459532
01-09-2015,2212.850098,2258.899902,2211.050049,2249.899902,2109.436035,570898
02-09-2015,2245,2282.449951,2192.5,2203.5,2065.932861,396461
03-09-2015,2218.149902,2264.899902,2212.5,2248.399902,2108.029785,324122
04-09-2015,2235.100098,2235.100098,2183.399902,2211,2072.9646,288883
07-09-2015,2225,2225,2177.199951,2192.100098,2055.244629,201054
08-09-2015,2196.100098,2219,2175.550049,2205.649902,2067.948486,264656
09-09-2015,2220.199951,2280,2220.199951,2270,2128.28125,218609
10-09-2015,2240,2319.899902,2214.649902,2302.699951,2158.939453,280684
11-09-2015,2327,2334.199951,2273,2325.800049,2180.597656,311139
14-09-2015,2345,2345,2296.050049,2314.350098,2169.862305,155057
15-09-2015,2315,2315,2281.100098,2296.399902,2153.032715,188695
16-09-2015,2305.100098,2369,2298.600098,2350.149902,2203.427246,340725
18-09-2015,2375,2378.550049,2273,2297.5,2154.064453,406288
21-09-2015,2275,2309.899902,2260.350098,2302.600098,2158.845947,165733
22-09-2015,2332.899902,2333,2240.350098,2259.149902,2118.108643,241130
23-09-2015,2242,2256.100098,2210.149902,2239.25,2099.450928,344990
24-09-2015,2248,2293.899902,2237,2282.949951,2140.422852,403540
28-09-2015,2300,2310,2262.449951,2274.399902,2132.406494,177328
29-09-2015,2258,2293.199951,2205,2250.649902,2110.13916,265626
30-09-2015,2266,2322.449951,2251.699951,2312.100098,2167.75293,306730
01-10-2015,2311,2327.350098,2284.100098,2315.100098,2170.56543,182986
05-10-2015,2325,2405,2311.649902,2388.75,2239.617432,226860
06-10-2015,2395,2398.800049,2342.149902,2376.75,2228.366699,214337
07-10-2015,2371.100098,2465,2354.050049,2451.800049,2298.731201,297092
08-10-2015,2479.899902,2479.899902,2406.149902,2430.899902,2279.135986,215467
09-10-2015,2448,2486,2438.800049,2449.600098,2296.668701,226253
12-10-2015,2450.5,2458.949951,2405.699951,2422.25,2271.026123,109815
13-10-2015,2430,2478.75,2425,2462.100098,2308.388184,240921
14-10-2015,2456.300049,2478.800049,2431.050049,2438.949951,2286.683594,110664
15-10-2015,2450,2460,2440.399902,2450.649902,2297.652832,132541
16-10-2015,2456.75,2487.75,2436.050049,2461.5,2307.825439,187013
19-10-2015,2461.5,2480.25,2430.100098,2465.399902,2311.482178,202855
20-10-2015,2470,2475,2400,2439.050049,2286.777344,243441
21-10-2015,2444,2538.100098,2435,2519.050049,2361.782715,1213789
23-10-2015,2532.850098,2564.199951,2506.050049,2515.649902,2358.594727,497453
