Date,Open,High,Low,Close,Adj Close,Volume
20-04-2009,138.188004,145.449997,138.188004,140.350006,104.068626,5330200
21-04-2009,144.899994,147.125,136.25,137.688004,102.094765,11488980
22-04-2009,140,141.149994,134.287994,135.738007,100.648857,6584924
23-04-2009,137.375,143.212006,136.300003,142.024994,105.310631,7373712
24-04-2009,139.988007,146.75,139.988007,145.975006,108.23954,5377524
27-04-2009,145.962006,152.199997,143.125,150.475006,111.576256,8141124
28-04-2009,149.774994,151.962006,144.087006,149.625,110.945976,8388692
29-04-2009,150.5,157.25,150.5,155.899994,115.598869,10531292
30-04-2009,155.524994,155.524994,155.524994,155.524994,115.320801,0
04-05-2009,157.75,174.899994,157.537994,166.600006,123.532837,11142936
05-05-2009,167.25,168.738007,159.024994,162.75,120.67807,8822316
06-05-2009,159.561996,162.425003,153.75,158.837006,117.776649,52522096
07-05-2009,159,161.25,154.824997,157.925003,117.100372,7738864
08-05-2009,157,160.5,154.625,157.738007,116.961754,9001752
11-05-2009,159.625,159.912994,152.25,153.811996,114.050598,5298612
12-05-2009,152.5,161.449997,152.5,160.274994,118.842857,9487452
13-05-2009,160.5,161.225006,153.75,155.425003,115.246666,7324800
14-05-2009,154.5,156.75,151.324997,154.949997,114.894417,9443176
15-05-2009,156,163.712006,156,161.011993,119.389397,10942472
18-05-2009,191.649994,197.899994,173.75,185.962006,137.889633,73380
19-05-2009,187.5,187.5,163.899994,167.438004,124.154236,13015576
20-05-2009,167.5,175.488007,165.75,169.162994,125.433266,8507664
21-05-2009,167.5,171.25,161,161.863007,120.020432,4459324
22-05-2009,157.5,161.25,157.5,158.511993,117.535622,5861456
25-05-2009,159,161,155.662994,157.837006,117.035172,5673644
26-05-2009,158.738007,159.912994,155.125,156.113007,115.756775,6058900
27-05-2009,157.699997,163,157.699997,162.136993,120.223587,9222868
28-05-2009,155.850006,168.475006,155.850006,165.800003,122.939629,16863676
29-05-2009,167.188004,177.5,163.162994,176.149994,130.614105,13871224
01-06-2009,168.337006,177.462006,168.337006,174.412994,129.326172,7905804
02-06-2009,175,177.5,172.5,173.688004,128.788574,4118172
03-06-2009,172.5,176.188004,170.774994,174.212006,129.177124,3914944
04-06-2009,171.75,177.25,171.587006,176.800003,131.0961,7020704
05-06-2009,177.25,182.175003,174.087006,180.337006,133.718765,13220132
08-06-2009,181.175003,187.438004,180,185.524994,137.565613,9267824
09-06-2009,182.774994,198.75,182.774994,195.537994,144.990173,9690708
10-06-2009,196.25,201.25,191.811996,195.449997,144.924957,9383796
11-06-2009,197,198.113007,192.5,193.774994,143.682938,3883200
12-06-2009,196.25,198.699997,190.300003,191.136993,141.726883,6358660
15-06-2009,191.175003,196.25,188.75,194.5,144.220535,6595868
16-06-2009,191.649994,196.75,185.600006,194.574997,146.154709,4344006
17-06-2009,196,197.5,187.5,189.375,142.248703,3741568
18-06-2009,189,196.5,186.024994,188.199997,141.366165,4753108
19-06-2009,188.5,196,187.5,189.899994,142.643082,7727732
22-06-2009,192.199997,193.899994,184,184.824997,138.831009,4106208
23-06-2009,180,188.875,179,183.324997,137.7043,5135694
24-06-2009,186.475006,194.25,180.100006,190.875,143.375443,7303954
25-06-2009,191,196,185.149994,190.25,142.905975,9694662
26-06-2009,191.25,202.199997,188.274994,198.699997,149.253235,6099700
29-06-2009,199.925003,201,191.675003,193.100006,145.046722,4745206
30-06-2009,193.75,199,191.574997,194.925003,146.417603,5923948
01-07-2009,193.550003,197.5,191.225006,196.475006,147.581909,3684738
02-07-2009,195,197.649994,190.600006,195,146.473984,3715428
03-07-2009,192.5,196.199997,192.5,195.475006,146.83075,2919844
06-07-2009,198.5,199.225006,189.175003,190.350006,142.981125,4488916
07-07-2009,192,196.625,190,194.574997,146.154709,3804568
08-07-2009,194.350006,194.449997,184.125,190.574997,143.150131,6694766
09-07-2009,191.050003,195.550003,185.5,194.074997,145.779114,3964808
10-07-2009,195.5,200.725006,195,197.574997,148.408112,7468748
13-07-2009,195,200.5,194.125,198.75,149.290741,5119832
14-07-2009,202.5,205.550003,200.199997,203.475006,152.839966,4464136
15-07-2009,205.449997,213.649994,205,211.574997,158.924286,4470094
16-07-2009,214,217.399994,206.600006,209.899994,157.666046,7596876
17-07-2009,210.699997,222.875,210.5,217.050003,163.036774,9094956
20-07-2009,222.5,257.450012,222.5,250.274994,187.993668,34539536
21-07-2009,251.5,256.575012,237.024994,238.800003,179.374237,13005820
22-07-2009,241.850006,242.5,226.149994,233.149994,175.130249,10674690
23-07-2009,235.5,241.449997,235,237.824997,178.641922,7662678
24-07-2009,245,245,238,242.274994,181.984451,7909322
